PWM (µs),Force (N),Stonefish (Floats)
1100,-39.90792904,-0.9999172679
1104,-39.72258662,-1.000868687
1108,-39.45569354,-0.9954025974
1112,-38.8774252,-0.9873362193
1116,-38.25467469,-0.9841125541
1120,-37.94329943,-0.9797344877
1124,-37.49847763,-0.9737171717
1128,-37.27606673,-0.9686233766
1132,-36.78676275,-0.9590649351
1136,-36.43090531,-0.9542770563
1140,-35.85263697,-0.9472582973
1144,-35.18540428,-0.9372640693
1148,-34.51817158,-0.9302279942
1152,-33.85093888,-0.9255670996
1156,-33.31715272,-0.9168715729
1160,-32.4719913,-0.9099451659
1164,-31.89372297,-0.897965368
1168,-31.40441899,-0.8907070707
1172,-30.47029321,-0.8835209235
1176,-29.80306051,-0.8801673882
1180,-29.35823871,-0.8667590188
1184,-28.82445255,-0.8622597403
1188,-28.0682555,-0.85204329
1192,-27.66791588,-0.8421933622
1196,-27.1786119,-0.8357460317
1200,-26.55586138,-0.8267590188
1204,-26.0665574,-0.8211024531
1208,-25.31036034,-0.8142077922
1212,-24.99898509,-0.8058845599
1216,-24.59864547,-0.7961096681
1220,-24.06485931,-0.7897171717
1224,-23.35314443,-0.7827070707
1228,-23.08625135,-0.7738124098
1232,-22.33005429,-0.7678614719
1236,-21.92971467,-0.7587301587
1240,-21.52937506,-0.749968254
1244,-20.773178,-0.7434141414
1248,-20.41732056,-0.7353160173
1252,-19.83905222,-0.7264992785
1256,-19.39423042,-0.7163549784
1260,-19.03837298,-0.7042337662
1264,-18.23769375,-0.698034632
1268,-17.79287195,-0.6838326118
1272,-17.30356797,-0.6768975469
1276,-16.68081745,-0.6656219336
1280,-16.36944219,-0.6573881674
1284,-15.79117385,-0.6488167388
1288,-15.25738769,-0.6413737374
1292,-14.85704808,-0.6345512266
1296,-14.590155,-0.6224992785
1300,-14.10085102,-0.6176479076
1304,-13.7005114,-0.6077258297
1308,-13.21120742,-0.6006839827
1312,-12.76638562,-0.5886955267
1316,-12.32156382,-0.5775670996
1320,-11.78777767,-0.568023088
