PWM (µs),Force (N),Stonefish (Floats)
1324,-11.38743805,-0.5585858586
1328,-10.98709843,-0.5491370851
1332,-10.80916971,-0.5395555556
1336,-10.31986573,-0.531018759
1340,-10.00849047,-0.5216132756
1344,-9.608150851,-0.5117113997
1348,-9.252293413,-0.5014718615
1352,-8.851953794,-0.4920519481
1356,-8.540578535,-0.4811139971
1360,-8.051274556,-0.4705194805
1364,-7.695417117,-0.4586349206
1368,-7.295077498,-0.4484502165
1372,-7.028184419,-0.4382510823
1376,-6.67232698,-0.4276421356
1380,-6.360951721,-0.418023088
1384,-6.049576462,-0.4068253968
1388,-5.693719023,-0.3930966811
1392,-5.293379404,-0.3823001443
1396,-5.026486325,-0.3708051948
1400,-4.715111066,-0.3596363636
1404,-4.359253627,-0.3461414141
1408,-4.092360548,-0.3327388167
1412,-3.780985289,-0.3211284271
1416,-3.46961003,-0.3071024531
1420,-3.158234771,-0.2933564214
1424,-2.891341691,-0.2798499278
1428,-2.535484252,-0.2643665224
1432,-2.313073353,-0.2506782107
1436,-2.046180274,-0.2337489177
1440,-1.779287195,-0.2188023088
1444,-1.467911936,-0.2012352092
1448,-1.245501036,-0.1850678211
1452,-1.023090137,-0.1667561328
1456,-0.8451614175,-0.1481240981
1460,-0.667232698,-0.1297258297
1464,-0.4893039785,-0.1121154401
1468,-0.3558574389,-0.09153535354
1472,-0.204743733,-0.005372922
1476,-0.109893223,-0.0037839289
1480,-0.05434323,-0.002038493
1484,-0.02893298,-0.001000332
1488,0,0
1492,0,0
1496,0,0
1500,0,0
1504,0,0
1508,0,0
1512,0,0
1516,0.054383934,0.0103893
1520,0.10903903,0.028793289
1524,0.207483783,0.0449839892
1528,0.305434782,0.0684938493
1532,0.4003396188,0.08896103896
1536,0.5337861584,0.1081673882
1540,0.7561970578,0.1272150072
1544,0.9786079571,0.1466118326
1548,1.245501036,0.1653275613
1552,1.512394116,0.1819422799
1556,1.779287195,0.1986291486
1560,2.135144634,0.2162539683
1564,2.446519893,0.2319220779
1568,2.846859512,0.248023088
1572,3.158234771,0.2615093795
1576,3.51409221,0.2774978355
1580,3.914431828,0.2907301587
1584,4.270289267,0.304952381
1588,4.626146706,0.3187070707
1592,5.026486325,0.3311688312
1596,5.471308124,0.3447647908
1600,5.916129922,0.357018759
1604,6.271987361,0.3690880231
1608,6.67232698,0.3806868687
1612,7.072666599,0.3922683983
1616,7.606452757,0.4065367965
1620,8.006792376,0.4165945166
1624,8.540578535,0.427021645
1628,8.896435974,0.4375266955
1632,9.296775592,0.4469379509
1636,9.741597391,0.4568600289
1640,10.14193701,0.4700894661
1644,10.76468753,0.4815064935
1648,11.20950933,0.4903578644
1652,11.60984895,0.5021500722
1656,12.1436351,0.5097200577
1660,12.54397472,0.5201500722
1664,13.0332787,0.5296103896
1668,13.61154704,0.5383751804
1672,14.10085102,0.5485858586
1676,14.54567282,0.5569350649
1680,15.07945898,0.5658932179
1684,15.56876295,0.5754920635
1688,16.19151347,0.5861443001
1692,16.59185309,0.5977979798
1696,17.25908579,0.6078730159
1700,17.88183631,0.6143434343
1704,18.41562247,0.6234891775
1708,18.94940862,0.6319191919
1712,19.52767696,0.6404559885
1716,20.06146312,0.6475497835
1720,20.81766018,0.6540692641
1724,21.35144634,0.6653246753
1728,21.75178596,0.6757835498
1732,22.33005429,0.6902741703
1736,23.35314443,0.6972034632
1740,23.84244841,0.7059105339
1744,24.68760983,0.7143232323
1748,25.26587817,0.7208975469
1752,26.02207522,0.7324329004
1756,26.77827228,0.7456017316
1760,27.04516536,0.7528600289
1764,27.8458446,0.7616911977
1768,28.33514858,0.7686147186
1772,29.18030999,0.7757922078
1776,29.93650705,0.7823376623
1780,30.47029321,0.7894603175
1784,31.09304373,0.7982395382
1788,31.53786553,0.8107936508
1792,32.38302694,0.8145627706
1796,33.09474182,0.8235497835
1800,33.53956362,0.8334776335
1804,34.42920722,0.8378556999
1808,35.363333,0.8466464646
1812,36.11953005,0.8580577201
1816,36.65331621,0.8662972583
1820,37.45399545,0.8778816739
1824,38.12122815,0.8845858586
1828,38.78846084,0.8968571429
1832,39.81155098,0.9017344877
1836,40.6567124,0.9100663781
1840,41.72428472,0.9178441558
1844,42.21358869,0.9247734488
1848,42.96978575,0.9357344877
1852,44.21528679,0.9408658009
1856,44.39321551,0.9521875902
1860,45.59423436,0.9546435786
1864,46.1725027,0.9671370851
1868,46.92869976,0.9751111111
1872,47.41800374,0.9828571429
1876,48.35212952,0.9892813853
1880,49.15280875,0.9921818182
1884,49.77555927,0.9971111111
1888,50.44279197,1.008323232
1892,50.75416723,1.014704185
1896,51.19898903,1.017959596
1900,51.43622732,1.019753247
